,lat,long,actual,predicted
0,17.895,73.404,0.88421,0.16715664877316572
1,17.895,73.405,0.58946,0.16711188750007683
2,17.895,73.406,0.88421,0.16706727143881495
3,17.895,73.407,0.97895,0.16702280080655374
4,17.913,74.903,0.3684,0.2998420792142969
5,17.95,74.847,0.43858,0.2781287119148078
6,17.95,74.852,0.56139,0.2790382195775231
7,17.951,74.876,0.10522999999999999,0.2831182909190316
8,17.952,74.865,0.38594,0.28081893903254146
9,17.953,74.857,0.42103,0.2790726546214331
10,17.954,74.896,0.40349,0.2858724804156189
11,17.955,74.862,0.24559,0.27939657754791214
12,17.956,74.862,0.43858,0.2791052334306699
13,17.956,74.873,0.31577,0.28109810530785645
14,17.957,74.859,0.17540999999999998,0.2782720843974269
15,17.959,74.877,0.76858,0.2809424775211149
16,17.959,74.85600000000001,0.38594,0.27715219488724485
17,17.96,74.873,0.5789300000000001,0.27992754654265944
18,17.961,74.861,0.35086,0.2774750347967383
19,17.961,74.89399999999999,0.24559,0.28342671830192073
20,17.961,74.865,0.087689,0.27819487123475767
21,17.961,75.09100000000001,0.21969,0.31888684026336833
22,17.961,74.874,0.14032,0.279816248477875
23,17.962,74.862,0.17540999999999998,0.27736617669295677
24,17.962,74.903,0.22804000000000002,0.2847566260874399
25,17.962,74.86399999999999,0.45611999999999997,0.2777256642052048
26,17.962,74.858,0.45611999999999997,0.27664758618703766
27,17.962,74.877,0.10522999999999999,0.280065218214934
28,17.963,74.865,0.38594,0.2776164676176537
29,17.963,74.88600000000001,0.28068000000000004,0.28139405818176133
30,17.963,74.904,0.29822,0.28464005627637584
31,17.963,74.89699999999999,0.15787,0.2833770006314169
32,17.965999999999998,74.872,0.19296,0.2780054477659009
33,17.967,74.91,0.17540999999999998,0.284533552682701
34,17.967,74.865,0.33331,0.27646481548064344
35,17.967,74.867,0.40349,0.2768223400236452
36,17.968,74.87899999999999,0.24559,0.2786801185640157
37,17.968,74.869,0.26313000000000003,0.2768922908484385
38,17.968,74.881,0.26313000000000003,0.27903800937604156
39,17.968,74.902,0.24559,0.28280137059613214
40,17.968,74.916,0.31577,0.28531467535138355
41,17.969,74.88,0.50708,0.27856944103283493
42,17.969,74.919,0.38594,0.2855557937999107
43,17.969,74.892,0.26163000000000003,0.2807159858534759
44,17.969,74.913,0.42103,0.28447934852701157
45,17.97,74.861,0.31577,0.274893496486706
46,17.97,74.88,0.17540999999999998,0.2782802623981837
47,17.97,74.873,0.61402,0.277031274284606
48,17.97,74.885,0.47367,0.2791731837192774
49,17.97,74.92,0.3684,0.28543769290664517
50,17.971,74.874,0.087689,0.2769221462870563
51,17.971,74.881,0.17540999999999998,0.27816983713111026
52,17.971,74.907,0.31577,0.28281409111110767
53,17.972,74.896,0.25094,0.28055584520079585
54,17.973,74.87899999999999,0.22804000000000002,0.2772374440534636
55,17.973,74.875,0.2105,0.2765262291238995
56,17.973,74.90100000000001,0.5263,0.28115612167376475
57,17.974,74.861,0.15787,0.27375731034689316
58,17.974,74.862,0.35086,0.27393442582984157
59,17.974,74.89399999999999,0.2349,0.2796177129612637
60,17.975,74.881,0.45611999999999997,0.2770183177241605
61,17.976,74.881,0.63157,0.27673151740659824
62,17.976,74.904,0.17540999999999998,0.28081508787353704
63,17.977,74.873,0.54384,0.27502951117427565
64,17.977,74.907,0.33331,0.28105669778164594
65,17.977,74.869,0.29822,0.27432239304764544
66,17.977999999999998,74.89,0.17540999999999998,0.27775193604318127
67,17.977999999999998,74.90899999999999,0.28068000000000004,0.2811201879317384
68,17.979,74.865,0.29822,0.2730511283055883
69,17.979,74.905,0.35086,0.2801199901940961
70,17.979,74.906,0.22804000000000002,0.28029717507677737
71,17.979,74.89,0.3684,0.2774645376771077
72,17.979,74.88600000000001,0.22804000000000002,0.2767572514242482
73,17.979,74.89,0.31577,0.2774645376771077
74,17.98,74.868,0.29822,0.27329744711374215
75,17.980999999999998,74.903,0.33331,0.2791867508293533
76,17.980999999999998,74.86399999999999,0.35086,0.2723124830665941
77,17.980999999999998,74.98100000000001,0.49121000000000004,0.29299630979649877
78,17.982,74.889,0.50876,0.27642871206225783
79,17.982,74.907,0.31577,0.279604157089313
80,17.982,74.874,0.43858,0.273788406632835
81,17.982,74.906,0.28068000000000004,0.27942757640504895
82,17.982,74.891,0.15787,0.2767811933781319
83,17.982,74.90899999999999,0.35086,0.2799573695422468
84,17.983,74.892,0.31577,0.27667138493969534
85,17.984,74.87899999999999,0.5263,0.27410154484831567
86,17.984,74.887,0.26313000000000003,0.2755066857824924
87,17.984,74.889,0.24559,0.27585823183489383
88,17.986,74.866,0.33331,0.27126311055076147
89,17.986,74.881,0.31577,0.2738872765974695
90,17.987000000000002,74.895,0.50876,0.2760572171228295
91,17.988,74.898,0.14032,0.2762980908748166
92,17.989,74.877,0.2105,0.27234451217060646
93,17.989,74.916,0.31577,0.2791658526340466
94,17.989,74.878,0.33331,0.27251894849958563
95,17.989,74.906,0.26313000000000003,0.2774137341241938
96,17.989,74.903,0.15787,0.276888443364165
97,17.99,74.89699999999999,0.29236999999999996,0.27555431709967676
98,17.991,74.874,0.43858,0.27126326244924054
99,17.991,74.86399999999999,0.45611999999999997,0.2695258119894771
100,17.991,74.869,0.33331,0.27039412124380546
101,17.991,74.869,0.26313000000000003,0.27039412124380546
102,17.991,74.876,0.28068000000000004,0.2716111411215081
103,17.991,74.884,0.43858,0.2730038483723263
104,17.991,74.877,0.26313000000000003,0.2717851265304421
105,17.992,74.89699999999999,0.10522999999999999,0.2749874408990201
106,17.994,74.872,0.43858,0.2700828293208883
107,17.994,74.88600000000001,0.31326,0.2725108135175462
108,17.994,74.87100000000001,0.26397,0.26990963354419695
109,17.994,74.893,0.5029100000000001,0.2737268677125506
110,17.995,74.882,0.35086,0.27153771816348243
111,17.995,74.902,0.17540999999999998,0.27500915509405693
112,17.996,74.88,0.49121000000000004,0.2709132131234136
113,17.996,74.867,0.49121000000000004,0.26866633154035263
114,17.996,74.889,0.47367,0.2724717439097649
115,17.996,74.887,0.45611999999999997,0.2721252098150862
116,17.997,74.25,0.31577,0.18149589849514647
117,17.997,74.875,0.28068000000000004,0.2697719224394418
118,17.997,74.878,0.49121000000000004,0.2702900971041966
119,17.997,74.898,0.42103,0.2737511475082577
120,17.997,74.902,0.22804000000000002,0.2744445575063526
121,17.997,74.885,0.42103,0.27150022713036503
122,17.997,74.87,0.33331,0.2689089398059029
123,17.999000000000002,74.875,0.5263,0.2692202907735371
124,17.999000000000002,74.865,0.28068000000000004,0.26749938039488114
125,18.0,74.88,0.50876,0.26980576025290887
126,18.000999999999998,74.884,0.33331,0.2702182026904398
127,18.000999999999998,74.89,0.40349,0.2712513990982879
128,18.000999999999998,74.863,0.31577,0.26661076572602266
129,18.000999999999998,74.874,0.31577,0.2684985651532068
130,18.000999999999998,74.882,0.31577,0.26987403130535087
131,18.002,74.875,0.45611999999999997,0.26839608443204804
132,18.003,74.862,0.49121000000000004,0.2658966559657781
133,18.003,74.878,0.17540999999999998,0.2686366188349038
134,18.003,74.887,0.15787,0.2701814967832153
135,18.003,74.876,0.54384,0.2682936497064258
136,18.004,74.868,0.24559,0.2666511255559125
137,18.004,74.867,0.56139,0.2664801718212153
138,18.004,74.882,0.5789300000000001,0.2690480326738016
139,18.005,74.874,0.19296,0.2674047830781032
140,18.005,74.876,0.63157,0.26774678628029946
141,18.005,74.862,0.5263,0.2653556732143628
142,18.008,74.866,0.26313000000000003,0.2652273672777279
143,18.009,74.86399999999999,0.33331,0.2646183506055104
144,18.009,74.86399999999999,0.35086,0.2646183506055104
145,18.009,74.87,0.5263,0.26563766148956214
146,18.009,74.87100000000001,0.47367,0.26580767295877866
147,18.01,74.863,0.49121000000000004,0.2641802635684693
148,18.01,74.87,0.19296,0.2653678614297794
149,18.012,74.861,0.45611999999999997,0.26330675916793755
150,18.012,74.873,0.29822,0.26533781577933774
151,18.014,74.869,0.2105,0.2641240497695624
152,18.014,74.858,0.18878,0.2622683098554248
153,18.017,74.865,0.28068000000000004,0.2626502058466651
154,18.017,74.96300000000001,0.33331,0.27925182023273
155,18.018,74.86,0.38594,0.26154576487543235
156,18.018,74.866,0.35086,0.2625528503766355
157,18.018,74.969,0.35086,0.2799858281885019
158,18.019000000000002,74.964,0.43858,0.2788517306108133
159,18.021,74.859,0.21969,0.2605885095766134
160,18.021,74.863,0.3684,0.2612570705669279
161,18.022000000000002,74.97399999999999,0.45611999999999997,0.27969055168288687
162,18.023,74.865,0.43858,0.26106487315844945
163,18.023,74.968,0.19296,0.2783922909273413
164,18.025,74.858,0.45611999999999997,0.2593756109308131
165,18.025,74.865,0.14032,0.2605398812180771
166,18.025,74.865,0.33331,0.2605398812180771
167,18.026,74.868,0.17540999999999998,0.260776983251106
168,18.026,74.86399999999999,0.28068000000000004,0.26011179470107737
169,18.027,74.867,0.22804000000000002,0.260348794510539
170,18.027,74.859,0.45611999999999997,0.25902104786219504
171,18.03,74.971,0.2105,0.2769203120399641
172,18.031,74.97399999999999,0.26313000000000003,0.27714142816981413
173,18.031,74.851,0.19296,0.25666633202965755
174,18.032,74.851,0.49121000000000004,0.256409990732775
175,18.032,74.868,0.45611999999999997,0.2592112202546029
176,18.032,74.98100000000001,0.2105,0.27803031750902113
177,18.032,74.854,0.45611999999999997,0.2569034158495813
178,18.032,74.971,0.12278,0.27635898318077473
179,18.033,74.858,0.49121000000000004,0.257304567223073
180,18.034000000000002,74.958,0.19296,0.27363164816447993
181,18.034000000000002,74.857,0.2105,0.2568833453692937
182,18.034000000000002,74.861,0.2105,0.2575407251300058
183,18.034000000000002,74.85300000000001,0.5789300000000001,0.25622666694373386
184,18.035,74.85600000000001,0.42103,0.2564630145680356
185,18.035999999999998,75.557,0.80785,0.35862651915753524
186,18.035999999999998,74.855,0.29822,0.25604357525249444
187,18.035999999999998,74.868,0.2105,0.25817601833238407
188,18.037,74.965,0.29822,0.2739663198665083
189,18.037,74.86399999999999,0.31577,0.2572622304781185
190,18.037,74.869,0.42103,0.2580824160497688
191,18.037,74.968,0.17540999999999998,0.2744648647480418
192,18.038,74.85300000000001,0.17540999999999998,0.2552073728025236
193,18.038,75.55199999999999,0.35086,0.35743357612735577
194,18.038,76.204,0.12027,0.3524044199651503
195,18.039,74.85600000000001,0.31577,0.2554429428441031
196,18.039,74.962,0.15787,0.27291613127332853
197,18.039,74.858,0.28068000000000004,0.25576937981321857
198,18.04,74.85300000000001,0.29822,0.25470030742516636
199,18.04,74.859,0.31577,0.25567810080365116
200,18.041,74.861,0.24559,0.25574984012224855
201,18.041,74.956,0.45611999999999997,0.27137392955257306
202,18.041,74.869,0.35086,0.2570550307319228
203,18.042,74.854,0.22804000000000002,0.2543573998286548
204,18.043,74.851,0.33331,0.2536186187133742
205,18.043,74.96300000000001,0.33331,0.2719831288765268
206,18.044,75.568,0.59648,0.3567659515287999
207,18.047,74.851,0.49121000000000004,0.25261647585140723
208,18.047,74.964,0.19296,0.27105567820984716
209,18.048,74.869,0.26313000000000003,0.2552737456889391
210,18.049,75.544,0.66666,0.3527478921078164
211,18.05,74.852,0.5263,0.25203006723235144
212,18.05,75.566,0.31577,0.35444621068983273
213,18.05,74.45100000000001,0.093537,0.1950330304622983
214,18.05,74.464,0.066067,0.19655026417248883
215,18.052,75.555,0.3684,0.3527281238423051
216,18.053,74.888,0.42438000000000003,0.2570777161145776
217,18.053,75.074,0.2105,0.287314162113828
218,18.054000000000002,74.465,0.14533,0.1960306084896235
219,18.054000000000002,75.632,0.29822,0.3584334393686226
220,18.055,74.456,0.008438,0.19482837410973208
221,18.055999999999997,74.895,0.80701,0.2574433923037024
222,18.055999999999997,74.902,0.38594,0.2585726685814472
223,18.057000000000002,74.90100000000001,0.7017399999999999,0.25815551194992065
224,18.058,74.03399999999999,0.091031,0.1627178556467445
225,18.058,74.88600000000001,0.19296,0.25548879975811795
226,18.058,74.905,0.14032,0.2585444644581454
227,18.058,74.46300000000001,0.045323,0.19516744972505473
228,18.059,74.44800000000001,0.13364,0.1932984210192067
