S.No,Long,Lat,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,B
2744,74.89555556,18.20194444,8.31,0.21,0.54,150.5,9.36,282.24,1.58,0.23,1.25,1.49,1.73,1.59
2745,74.92472222,18.20194444,7.72,0.65,0.45,588,11.6,840,9,0.32,1.95,0.34,1.9,0.6
2746,74.92555556,18.20194444,7.48,0.62,0.36,315,14.2,750,7.2,0.37,1.95,0.48,1.48,0.66
2747,74.93,18.20194444,7.89,0.5,0.21,141,10.18,873,6.5,0.39,2.7,0.48,1.74,0.61
2748,75.15777778,18.20194444,7.72,0.64,0.75,525,15.3,224,6.6,0.72,1.96,0.32,1.78,0.9
2749,75.17555556,18.20194444,,0.22,1.26,287,13.03,412,8.01,0.32,1.19,0.49,0.49,0.18
2750,76.22361111,18.20194444,7.98,0.52,0.42,94,9.18,360,9.02,0.46,0.82,0.2,0.25,0.08
2751,73.92888889,18.20222222,7.2,1.6,0.19,47.5,8,442,14.82,0.4,8.28,1.16,22.81,3.62
2752,73.93583333,18.20222222,7.1,2.5,1,250,18,125,15.9,0.54,2.97,75.62,5.74,3.16
2753,73.94,18.20222222,7.4,1.5,0.54,135,12,182,20.1,0.7,2.72,10.19,6.25,0.92
2754,74.47777778,18.20222222,8.11,0.47,0.71,290,7.18,140,6.07,0.92,1.79,0.29,0.11,0.27
2755,74.49583333,18.20222222,8.4,0.99,0.76,140,12,240,8.11,0.75,1.01,0.37,0.77,0.2
2756,74.81111111,18.20222222,8.29,0.27,0.56,155.6,6.29,396.48,1.84,0.41,1.7,1.23,3.01,1.03
2757,74.92027778,18.20222222,7.72,0.67,0.45,630,12.5,694,9,0.32,2.2,0.74,1.9,0.6
2758,73.92666667,18.2025,7.12,2.5,1.22,305,24,246.5,19.82,0.86,4.23,3.48,20.64,1.32
2759,73.935,18.2025,7,1.9,0.61,152.5,8,101,17.6,0.51,2.81,63.24,6.18,0.81
2760,73.93638889,18.2025,7.2,2.2,0.72,180,8,184,20.1,0.53,2.71,36.18,4.47,3.11
2761,73.94,18.2025,7.1,1.4,0.68,170,4,180,10.95,0.37,3.23,34.77,4.02,0.76
2762,74.41388889,18.2025,8.66,0.38,0.56,137.9,6.86,322.56,1.7,0.38,1.35,1.39,2.71,1.58
2763,74.41583333,18.2025,8.6,0.43,0.5,122.3,8.69,416.64,1.08,0.31,1.22,1.45,2.83,1.75
2764,74.47555556,18.2025,8.11,0.8,0.71,197,9.01,192,4.13,0.1,1.07,0.99,0.35,0.41
2765,74.49861111,18.2025,8.3,0.77,0.66,190,6.61,200,7.71,0.44,0.77,0.3,0.8,0.14
2766,74.92305556,18.2025,7.76,0.62,0.36,588,14.2,694,7.5,0.42,2.2,0.66,1.9,0.6
2767,74.92944444,18.2025,7.58,0.6,0.42,252,12.5,537,7.2,0.53,2.6,0.48,1.45,0.95
2768,74.93027778,18.2025,7.32,0.84,0.66,462,13.44,5.4,7.2,0.25,2.72,0.72,1.76,0.58
2769,74.96722222,18.2025,7.56,0.82,0.51,357,10.18,280,6.2,0.35,1.72,0.4,1.54,0.83
2770,75.19666667,18.2025,7.87,0.5,0.24,168,11.2,314,7.2,0.45,2.3,0.52,1.89,0.78
2771,74.38055556,18.20277778,8.32,0.47,0.39,197.21,7.34,452.48,1.08,0.32,0.91,0.98,3.12,0.92
2772,74.39333333,18.20277778,8.34,0.33,0.66,163.07,5.86,526.4,2.54,0.33,0.83,1.32,2.57,1.62
2773,74.39666667,18.20277778,,0.62,0.85,210.1,5.09,376.32,2.58,0.74,1.48,1.01,2.76,0.81
2774,74.48416667,18.20277778,8.41,0.79,0.41,192,9.79,192,7.79,0.41,1,0.48,0.28,0.11
2775,74.49361111,18.20277778,8.49,0.48,0.39,190,10.47,192,6.49,0.1,1,0.29,0.29,0.28
2776,74.70111111,18.20277778,8.3,0.35,0.93,248.1,8.78,318.08,1.53,0.24,1.34,1.32,2.71,1.19
2777,74.70583333,18.20277778,,0.36,0.85,228.1,7.01,235.2,1.69,0.09,0.84,1.53,2.92,0.86
2778,74.89527778,18.20277778,8.16,0.91,0.6,166.2,5.23,295.68,1.3,0.32,1.08,0.85,3.02,1.47
2779,74.92194444,18.20277778,7.67,0.62,0.45,630,12.5,694,9,0.32,2.6,0.66,1.45,0.6
2780,74.92222222,18.20277778,7.58,0.62,0.63,252,14.2,694,5.9,0.4,1.95,,1.9,0.6
2781,74.93222222,18.20277778,7.69,0.74,0.72,504,15.46,347,8.4,0.52,3.15,0.73,2.62,0.81
2782,74.95027778,18.20277778,7.85,0.6,0.84,588,14.42,560,8.3,0.5,2.47,0.7,1.68,0.59
2783,74.96944444,18.20277778,7.76,2.23,0.33,97.21,8.21,421.12,2.56,0.81,4.58,1.72,1.08,2.02
2784,74.97111111,18.20277778,7.51,0.66,0.81,567,16.1,593,7,0.74,1.89,0.74,2.73,0.65
2785,75.17722222,18.20277778,7.66,0.54,0.84,588,11.46,548,5.8,0.9,3.17,0.6,1.73,0.56
2786,75.195,18.20277778,7.92,0.51,0.66,462,10.3,426,7.9,0.56,2.19,0.89,1.74,0.65
2787,73.935,18.20305556,7.1,1.4,0.97,242.5,4,165,7.6,2.31,2.52,94.87,8.14,0.74
2788,74.00944444,18.20305556,7.5,0.78,1.16,290,10,272,13.4,0.62,19.23,9.11,39.23,0.76
2789,74.2725,18.20305556,9.03,0.17,0.52,144.25,4.39,414.4,2.68,0.23,0.86,0.86,3.72,1.11
2790,74.39333333,18.20305556,8.47,0.48,0.58,144.2,4.08,464.8,2.2,0.52,0.99,1.73,1.73,1.57
2791,74.42666667,18.20305556,8.76,0.36,0.46,112.8,6.43,359.52,1.08,0.35,1.22,1.27,2.93,1.76
2792,74.43361111,18.20305556,8.67,0.32,0.27,165.8,5.47,319.2,1.62,0.14,1.52,1.51,3.22,1.25
2793,74.9225,18.20305556,7.65,0.8,0.15,105,11.5,672,8.3,0.74,2.96,0.48,2.62,0.97
2794,74.92694444,18.20305556,7.76,0.62,0.42,588,11.6,694,7.2,0.4,2.2,0.48,1.48,0.66
2795,74.92805556,18.20305556,7.58,0.6,0.9,252,12.5,750,5.9,0.32,2.6,0.74,1.9,0.6
2796,74.93138889,18.20305556,7.76,0.8,0.54,378,12.1,380,6.2,0.74,2.46,0.64,2.79,0.89
2797,74.93333333,18.20305556,7.42,0.48,0.27,189,17.1,403,7.1,0.76,2.42,0.48,2.84,0.69
2798,74.98611111,18.20305556,7.72,0.48,0.21,147,16.2,952,6.1,0.6,1.48,0.48,1.56,0.73
2799,73.93972222,18.20333333,7.2,1.7,1.08,270,5,182,16.8,0.43,2.39,53.15,4.31,0.85
2800,74.40055556,18.20333333,8.25,0.43,0.48,134.84,5.52,445.76,2.6,0.37,1.63,1.12,2.36,1.71
2801,74.49138889,18.20333333,8,0.88,0.41,129,9.29,188,6.48,0.18,1.01,0.4,0.41,0.41
2802,74.97333333,18.20333333,7.53,0.6,0.9,630,12.86,672,5.6,0.37,1.88,0.35,1.89,0.54
2803,75.17722222,18.20333333,8.16,0.36,0.34,60,6.12,290,9.09,0.66,0.91,0.44,0.54,0.14
2804,75.19527778,18.20333333,7.88,0.6,0.9,630,17.2,258,6.6,0.65,2.25,0.48,1.48,0.85
2805,73.60777778,18.20361111,6.2,0.12,1.09,272.5,9,552.5,36.18,0.12,99.2,5.25,26.08,0.85
2806,73.92305556,18.20361111,7.1,1.8,1.18,295,30,190,25.8,0.29,20.42,7.92,19.2,3.62
2807,73.99111111,18.20361111,7.7,0.3,0.58,145,15,144.5,16.52,0.28,9.12,4.23,39.23,0.8
2808,74.02,18.20361111,7.2,0.51,0.58,145,4,93.5,4.28,0.9,2.98,5.66,41.36,0.76
2809,74.22,18.20361111,8.39,0.22,0.4,116.03,9.6,464.8,1.39,0.25,1.25,1.51,1.39,1.26
2810,74.37027778,18.20361111,8.33,0.75,0.44,125.44,5.76,520.8,1.56,0.34,1.32,0.88,3.17,1.41
2811,74.37944444,18.20361111,8.5,0.27,0.6,166.2,10.61,404.32,1.38,0.31,1.31,1.34,2.84,1.19
2812,74.38333333,18.20361111,,0.18,0.58,159.9,7.63,524.16,2.21,0.24,1.31,0.96,2.6,1.36
2813,74.40416667,18.20361111,8.37,0.82,0.39,197.2,8.88,448,1.11,0.31,0.82,1.61,2.71,1.6
2814,74.41722222,18.20361111,,0.37,0.58,144.2,6.96,445.04,1.79,0.2,1.45,1.38,3.11,1.93
2815,74.47638889,18.20361111,8.07,0.71,0.11,192,9.08,180,5.55,0.15,1,0.79,0.42,0.22
2816,74.48694444,18.20361111,8,0.78,0.11,148,9.98,192,7.18,0.48,1.47,0.92,0.29,0.11
2817,74.48805556,18.20361111,8.11,0.92,0.48,145,9.99,192,5.48,0.92,1.07,0.41,0.79,0.48
2818,74.68916667,18.20361111,8.36,0.36,0.3,190.9,7.97,434.56,1.21,0.31,1.22,1.41,3.34,1
2819,74.71111111,18.20361111,8.75,0.3,0.42,122.3,13.3,274.4,2.87,0.31,1.43,1.24,2.37,0.99
2820,74.92277778,18.20361111,7.42,0.65,0.36,588,11.2,537,8.2,0.32,2.2,0.89,1.9,0.66
2821,74.92944444,18.20361111,7.72,0.67,0.63,630,12.5,694,7.2,0.4,1.95,0.6,1.45,0.9
2822,74.93,18.20361111,7.72,0.74,0.51,351,13.46,492,8.4,0.3,1.58,0.73,1.74,0.63
2823,74.93055556,18.20361111,7.86,0.48,0.81,567,10.18,436,7.1,0.48,3.1,0.39,1.7,0.88
2824,74.93166667,18.20361111,7.58,0.67,0.6,630,14.2,750,7.2,0.53,2.6,0.48,1.45,0.6
2825,74.93388889,18.20361111,7.74,0.82,0.81,567,18.18,313,8.2,0.89,3.1,0.74,2.89,0.62
2826,74.97194444,18.20361111,7.59,0.7,0.36,252,11.68,593,6.2,0.51,3.47,0.3,1.56,0.65
2827,73.93916667,18.20388889,7.2,1.3,0.9,225,12,112,16.4,0.52,2.83,60.8,5.04,0.68
2828,74.03611111,18.20388889,7.63,0.28,0.66,462,6.8,492.17,13.52,0.57,0.21,0.37,1.68,0.4
2829,74.39111111,18.20388889,8.4,0.6,0.42,122.3,6.29,288.96,2.6,0.28,1.55,1.19,3.22,1.28
2830,74.40416667,18.20388889,8.22,0.27,0.52,128.6,6.91,379.68,1.66,0.41,0.92,1.42,3.41,1.53
2831,74.73361111,18.20388889,8.23,1.95,0.66,178.7,11.14,427.84,1.74,0.21,1.34,1.53,2.53,1.53
2832,74.91611111,18.20388889,7.2,0.66,0.66,462,13.18,425,5.9,0.46,2.5,0.87,2.15,0.96
2833,74.92861111,18.20388889,7.74,0.84,0.51,357,9.9,349,8.1,0.42,1.97,0.65,1.34,0.57
2834,74.93027778,18.20388889,7.92,0.82,0.48,336,12.9,649,8.2,0.3,2.35,0.42,1.48,0.95
2835,74.9675,18.20388889,8.1,0.66,0.64,175.61,7.34,680.96,3.61,0.52,1.11,1.41,5.12,1.38
2836,75.19305556,18.20388889,7.9,0.51,0.3,210,13.5,392,7.2,0.78,2.52,0.66,1.89,0.85
2837,74.44888889,18.20416667,8.5,0.41,0.42,176.03,9.41,379.68,1.83,0.32,0.89,0.92,2.72,1.27
2838,74.48361111,18.20416667,8.18,1.09,0.72,194.4,7.82,779.5,2.8,0.41,1.68,0.36,2.51,2.14
2839,74.51861111,18.20416667,8.65,0.28,0.56,153.6,27.65,264.3,2.73,0.49,1.96,0.72,2.66,2.16
2840,74.99111111,18.20416667,7.76,0.88,0.66,462,12.76,627,6.4,0.52,2.65,0.89,1.73,0.45
2841,74.39611111,18.20444444,8.45,0.47,0.6,147.3,5.71,427.84,1.67,0.33,0.83,1.08,2.79,1.02
2842,74.41083333,18.20444444,8.77,0.41,0.52,144.25,6.14,418.88,2.23,0.17,0.64,1.5,2.15,1.47
2843,74.43694444,18.20444444,,0.27,0.42,183.4,11.57,365.12,2.63,0.25,1.34,1.44,3.48,1.54
2844,74.43861111,18.20444444,9.05,0.61,0.44,125.44,8.64,273.28,1.47,0.22,1.27,1.47,3.44,1.72
2845,74.66861111,18.20444444,8.76,0.27,0.4,126.03,6.05,206.08,1.83,0.34,1.27,1.18,3.1,1.03
2846,74.88944444,18.20444444,8.12,0.31,0.64,175.61,9.46,426.72,1.14,0.61,4.45,1.57,2.42,2.76
2847,74.9225,18.20444444,7.67,0.74,0.51,357,13.2,627,9.1,0.62,3.1,0.76,2.74,0.62
2848,74.97,18.20444444,8.16,0.55,0.6,166.25,10.65,502.88,3.16,0.44,3.15,2.2,2.36,1.38
2849,74.40055556,18.20472222,8.62,0.6,0.76,203.84,8.3,464.8,2.82,0.27,1.92,1.73,3.12,1.31
2850,74.41944444,18.20472222,8.68,0.18,0.39,197.2,6.53,471.52,1.45,0.24,1.35,1.42,3.2,1.12
2851,74.44027778,18.20472222,8.28,0.94,0.58,144.2,8.93,677.28,2.36,0.32,1.35,1.22,2.98,1.74
2852,74.48555556,18.20472222,8.48,0.91,0.74,200,7.75,200,7.7,0.63,0.75,0.81,0.77,0.3
2853,74.89611111,18.20472222,7.63,0.48,0.45,315,13.3,784,9.7,0.48,2.18,0.6,1.39,0.6
2854,74.94722222,18.20472222,7.41,0.94,0.36,252,11.45,515,7.1,0.37,2.7,0.25,3.14,0.76
2855,74.94916667,18.20472222,7.4,0.72,0.3,210,11,884,6,0.52,1.89,0.78,2.4,0.65
2856,74.9725,18.20472222,7.67,0.8,0.39,273,11.5,638,7.1,0.29,2.34,0.65,2.48,0.83
2857,74.9775,18.20472222,7.2,0.71,0.54,378,12.2,862,8.9,0.42,2.46,0.7,2.5,0.51
2858,75.18861111,18.20472222,7.87,0.54,0.36,252,17.15,526,6.6,0.83,2.6,0.44,1.73,0.52
2859,75.19833333,18.20472222,7.9,0.63,0.72,504,10.3,1725,9,0.45,2.52,0.55,1.73,0.56
2860,74.39166667,18.205,7.95,0.84,0.35,180.35,11.81,291.2,2.04,0.48,1.38,1.23,2.41,0.96
2861,74.395,18.205,8.11,0.42,0.56,137.9,5.09,506.24,2.14,0.24,1.12,1.38,2.85,1.15
2862,74.47416667,18.205,8.01,0.59,0.24,182,14.02,205,6.6,0.15,0.79,0.63,0.11,0.45
2863,74.49694444,18.205,8.11,0.52,0.29,280,9.99,192,6.49,0.89,1.01,0.82,0.75,0.68
2864,74.69944444,18.205,8.7,0.13,0.56,155.6,3.88,650.72,2.59,0.29,1.35,1.74,3.66,2.02
2865,74.76,18.205,8.43,0.61,0.81,219.52,6.67,456.96,1.39,0.18,1.54,1.14,2.8,1.76
2866,74.92055556,18.205,7.76,0.65,0.9,315,11.2,750,7.5,0.4,2.6,0.48,1.48,0.66
2867,74.93805556,18.205,7.35,0.55,0.18,128,11.68,604,7.2,0.42,2.88,0.2,1.82,0.45
2868,74.94333333,18.205,8.18,0.54,0.64,175.61,14.44,751.52,3.25,0.39,1.87,2.92,2.35,1.13
2869,73.9375,18.20527778,7.7,1.4,1.26,315,13,184,20.4,0.37,2.58,40.3,5.67,3.5
2870,74.37611111,18.20527778,,1.08,0.56,158.8,6.96,449.12,1.88,0.44,1.5,1.52,2.71,0.92
2871,74.38638889,18.20527778,,0.3,0.55,134.8,8.16,427.84,1.13,0.37,1.21,1.19,3.05,1.37
2872,74.38833333,18.20527778,8.12,1.59,0.52,144.2,7.01,423.36,1.66,0.12,0.98,1.43,2.32,1.45
2873,74.94388889,18.20527778,7.4,0.68,0.3,210,12.72,548,7.8,0.38,3.4,0.35,1.63,0.43
2874,75.16305556,18.20527778,7.77,0.57,0.36,252,13.5,672,8.4,0.66,2.6,0.34,2,0.9
2875,75.20305556,18.20527778,7.86,0.55,0.75,525,11.2,526,7.5,0.92,2.69,0.89,1.89,0.75
2876,73.69166667,18.20555556,5,0.83,0.36,90,7,128.05,11.14,0.68,40.09,4.39,12.02,0.76
2877,73.92333333,18.20555556,7,2,1.18,305,28,144.5,20.9,0.36,8,4.41,22.37,2.39
2878,73.98388889,18.20555556,7.6,0.87,1.26,315,18,102,12.96,0.42,9.11,6.23,19.36,0.28
2879,74.18888889,18.20555556,7.2,0.4,1.56,1092,8.99,398.17,3.43,0.14,1.78,0.18,1.7,0.37
2880,74.38916667,18.20555556,8.32,0.41,0.56,153.6,7.1,334.88,2.1,0.56,1.36,1.06,3.12,1.24
2881,74.38944444,18.20555556,8.01,0.49,0.5,122.3,6.38,524.16,2.51,0.45,1.25,1.23,3.2,0.72
2882,74.40305556,18.20555556,8.48,0.21,0.56,137.9,8.98,396.48,2.38,0.23,1.94,1.12,3.3,1.23
2883,74.44333333,18.20555556,,0.66,0.79,194.4,8.4,306.88,2.1,0.22,1.34,1.4,3.22,1.47
2884,74.47722222,18.20555556,7.97,0.79,0.47,129,10.48,129,4.18,0.2,1.08,0.87,0.29,0.25
2885,74.47916667,18.20555556,8.32,0.95,0.29,129,9.29,218,5.01,0.6,1.11,0.29,0.71,0.29
2886,74.70583333,18.20555556,8.4,0.26,0.66,163,3.79,360.64,1.69,0.3,1.22,0.82,3.23,1.19
2887,74.92555556,18.20555556,7.74,0.89,0.36,252,16.2,795,6.2,0.73,2.48,0.89,2.62,0.67
2888,74.92722222,18.20555556,7.7,0.48,0.9,630,11.2,795,8.1,0.3,2.25,0.74,2.39,0.8
2889,75.19,18.20555556,7.64,0.54,0.42,294,16.3,560,9.2,0.9,1.43,0.43,1.74,0.86
2890,73.93666667,18.20583333,6.6,1.4,0.72,180,4,189,25.8,0.3,2.36,49.27,4.92,0.48
2891,73.93888889,18.20583333,7.5,1.5,0.61,152.5,4,111.5,8.4,0.47,2.3,41.88,4.57,0.82
2892,74.38666667,18.20583333,8.27,0.5,0.58,159.9,8.59,412.16,1.95,0.27,1.17,1.26,2.48,1.53
2893,74.44333333,18.20583333,8.31,0.54,0.95,235.2,8.06,337.12,2.51,0.48,1.3,1.24,2.17,1.32
2894,74.44388889,18.20583333,8.33,0.36,0.39,197.2,4.99,729.12,1.13,0.31,1.41,1.53,3.74,1.62
2895,74.97777778,18.20583333,7.32,0.41,0.69,483,11.5,604,7.1,0.39,2.6,0.48,1.89,0.65
2896,75.19388889,18.20583333,7.9,0.5,0.75,525,12.5,470,7.2,0.9,2.74,0.52,1.89,0.78
2897,75.19722222,18.20583333,7.88,0.49,0.21,147,9.6,269,6.6,0.66,2.44,0.6,1.73,0.7
2898,73.92305556,18.20611111,7,1.5,1.15,277.5,27,190,16.45,0.44,10.24,4.33,36.36,3.12
2899,73.925,18.20611111,7.3,1.4,1.18,295,5,93.5,14.25,0.43,10.94,4.6,24.87,3.16
2900,73.93361111,18.20611111,7,1,1.26,315,6,119,17.3,0.35,1.08,16.17,12.14,0.96
2901,73.93583333,18.20611111,6.9,1.1,0.9,225,10,136,17.6,1,2.7,11.9,8.81,0.95
2902,73.93777778,18.20611111,7.4,0.9,1.08,270,8,168,19.8,1.55,6.25,11.22,8.45,2.84
2903,73.93888889,18.20611111,6.9,2.4,1.22,287.5,26,136,14.8,0.36,13.18,6.03,24.37,1.85
2904,73.93944444,18.20611111,7,1.11,0.72,180,7,190,18.4,0.21,3.8,77.39,8.59,0.78
2905,74.38583333,18.20611111,8.6,0.12,0.7,188.1,7.73,624.96,1.81,0.21,1.11,1.2,3.23,1.28
2906,74.38694444,18.20611111,8.5,0.13,0.72,178.7,5.28,458.08,1.86,0.32,1.78,1.87,2.7,1.06
2907,74.3925,18.20611111,8.16,0.58,0.6,147.3,5.95,303.52,1.84,0.35,1.38,1.7,2.71,0.98
2908,74.40027778,18.20611111,8.29,0.18,0.62,153.6,5.57,426.72,1.58,0.43,1.4,0.84,4.53,0.98
2909,74.41555556,18.20611111,8.46,0.73,0.25,175.26,6.05,672,2.85,0.52,1.41,1.62,3.04,1.67
2910,74.43694444,18.20611111,8.7,0.22,0.27,165.8,13.1,573.44,1.56,0.43,1.28,1.32,3.22,1.27
2911,74.48472222,18.20611111,8.49,0.92,0.11,140,6.49,192,6.48,0.48,1.11,0.41,0.92,0.29
2912,74.57305556,18.20611111,8.22,0.21,0.52,150.5,74,292.3,3.17,0.26,1.39,1.47,1.28,1.26
2913,74.83861111,18.20611111,8.41,1,0.87,232.06,10.13,300.16,1.26,0.54,1.26,0.93,2.92,0.63
2914,73.91916667,18.20638889,6.9,2.6,1.15,305,32,182,16.4,0.35,10.91,4.82,30.76,0.48
2915,73.92277778,18.20638889,7.1,2.2,1.15,287.5,19,263.5,20.6,0.26,7.58,3.49,21.01,2.69
2916,73.92305556,18.20638889,6.9,1.7,1.11,260,4,178,15.93,0.41,10.62,4.11,28.98,4.18
2917,73.92916667,18.20638889,7.2,1.7,1.11,277.5,7,102,15.6,0.62,17.1,4.79,57.7,4.18
2918,73.93333333,18.20638889,7.2,1.3,0.76,190,10,179,3.6,0.46,2.84,76.44,4.53,0.92
2919,73.93444444,18.20638889,7,1.5,0.9,225,6,196,16.8,0.48,5.56,,84.01,0.72
2920,73.93527778,18.20638889,7.1,1.6,0.54,1.35,4,192,14.8,0.42,2.71,13.15,5.19,1.12
2921,73.93666667,18.20638889,7.2,2.89,1.09,190,6,144.5,14.8,0.55,3.61,81.62,9.45,0.76
2922,73.95,18.20638889,7.4,1.1,0.9,225,6,168,16.4,0.28,2.15,51.94,7.92,2.85
2923,74.37694444,18.20638889,8.07,0.46,0.54,134.8,8.4,445.76,1.11,0.48,0.92,1.12,2.92,1.44
2924,74.38833333,18.20638889,8.61,0.36,0.4,116.03,6,431.2,1.58,0.35,1.33,1.34,3.06,1.48
2925,74.40722222,18.20638889,8.41,0.81,0.27,165.8,8.35,576.64,1.98,0.51,1.36,1.22,2.78,1.02
2926,74.68611111,18.20638889,8.14,0.31,0.74,200.6,9.65,319.2,2.87,0.12,0.94,0.86,3.21,0.98
2927,74.88888889,18.20638889,7.85,0.68,0.37,357,13.66,525,5.9,0.46,2.44,0.42,2.74,0.83
2928,74.91722222,18.20638889,8.04,0.55,0.37,89,5.41,140,8.41,0.32,0.24,0.47,0.79,0.26
2929,75.01138889,18.20638889,7.58,0.66,0.44,319.42,18.07,466.14,4.57,0.64,2.08,0.95,3.65,0.56
2930,75.18277778,18.20638889,7.8,0.7,0.93,651,13.39,616,7.4,0.82,2.64,0.48,2.77,0.52
2931,73.69444444,18.20666667,6.2,0.11,0.5,125,6,501.5,20,1.98,9,3,20,0.79
2932,73.92305556,18.20666667,7,1.7,1.18,287.5,28,136,5.6,0.21,16.78,5.24,13.01,2.85
2933,74.39333333,18.20666667,8.4,0.64,0.48,134.8,10.7,456.96,2.98,0.32,0.91,1.12,2.92,1.37
2934,74.41888889,18.20666667,,0.72,0.42,119.1,6.58,596.96,1.16,0.41,1.22,1.31,3.4,1.54
2935,74.48944444,18.20666667,8,0.82,0.47,228,4.48,192,6.48,2,1.75,0.78,0.72,0.47
2936,74.91638889,18.20666667,8.22,0.46,0.74,200.7,11.14,417.76,2.5,0.22,2.4,3.11,2.14,0.92
2937,74.92,18.20666667,7.74,0.49,0.66,462,14.66,616,7.1,0.48,2.38,0.65,2.1,0.6
2938,74.93111111,18.20666667,7.42,0.74,0.42,364,13.75,649,6.1,0.73,2.35,0.39,2.48,0.9
2939,75.055,18.20666667,8.07,0.77,0.64,175.61,9.46,341.6,3.26,0.41,2.74,2.71,2.96,1.82
2940,75.18305556,18.20666667,7.55,0.85,0.51,357,9.72,560,8.4,0.45,1.9,0.65,1.47,0.5
2941,75.18972222,18.20666667,7.92,0.5,0.6,420,15.5,403,9,0.78,2.89,0.48,1.6,0.96
2942,73.92861111,18.20694444,7.1,1.1,0.85,212.5,9,102,19.23,0.44,7.97,2.16,18.91,2.89
2943,73.93666667,18.20694444,6.8,2.1,0.61,152.5,5,127,19.8,0.45,3.24,60.91,8.98,2.85
2944,74.43972222,18.20694444,8.74,0.52,0.76,188.1,5.52,455.84,2.24,0.46,1.24,1.41,3.32,1.15
2945,74.89888889,18.20694444,8.5,0.57,0.62,149,3.77,255,10.37,0.49,0.38,0.11,0.2,0.11
2946,74.91888889,18.20694444,7.45,0.68,0.75,525,12.32,739,6.4,0.49,2.18,0.62,1.45,0.62
2947,75.16083333,18.20694444,7.67,0.64,0.57,399,16.2,1075,8.9,0.72,1.96,0.54,2.16,0.72
2948,75.18611111,18.20694444,7.86,0.5,0.24,168,8.98,504,5.8,0.6,2.75,0.56,1.66,0.74
2949,75.19194444,18.20694444,7.92,0.51,0.54,378,11.5,403,7.5,0.73,2.69,0.42,1.48,0.78
2950,76.20555556,18.20694444,8.4,1.58,0.47,113,1.2,200,10.62,0.44,0.28,0.3,0.52,0.37
2951,74.38916667,18.20722222,8.2,0.66,0.44,189.7,8.11,347.2,1.35,0.15,1.27,1.14,2.51,1.88
2952,74.42916667,18.20722222,7.57,0.26,0.75,525,9.87,227.07,12.75,0.64,0.18,0.46,2.5,0.41
2953,74.47944444,18.20722222,8.08,0.82,0.65,149,9.49,290,5.49,0.35,1.99,0.11,0.38,0.11
2954,74.55111111,18.20722222,8.97,0.26,0.44,125.44,6.05,190.4,1.92,0.11,0.88,1.52,3.74,1.16
2955,74.57916667,18.20722222,8.37,0.21,0.7,188.16,18.43,452.48,2.28,0.25,0.78,1.51,2.81,1.15
2956,74.92083333,18.20722222,7.72,0.65,0.9,315,10.18,750,5.9,0.42,2.6,0.6,1.9,0.6
2957,74.93111111,18.20722222,7.48,0.74,0.66,462,11.35,324,8.2,0.65,2.48,0.62,1.62,0.92
2958,75.175,18.20722222,7.9,0.86,0.54,378,14.7,504,8.3,0.65,2.17,0.72,1.68,0.59
2959,75.42083333,18.20722222,7.59,0.41,0.48,336,8.55,407.68,14.68,0.27,0.3,0.41,1.19,0.37
2960,74.00777778,18.2075,7.6,0.56,0.44,110,6,102,16.44,0.62,19.23,8.31,20.64,3.89
2961,74.43416667,18.2075,,0.3,0.37,190.9,15.08,506.24,1.29,0.41,1.32,1.34,2.72,1.39
2962,74.54944444,18.2075,8.79,0.31,0.5,141.12,8.83,262.08,1.9,0.37,1.2,1.23,2.95,1.12
2963,74.88833333,18.2075,7.8,0.59,0.76,203.84,8.64,349.4,2.03,0.15,1.31,1.4,2.92,1.01
2964,74.91805556,18.2075,7.2,0.53,0.78,546,11.6,784,5.9,0.38,2.28,0.68,1.65,0.26
2965,74.92055556,18.2075,7.48,0.6,0.36,315,11.2,694,7.5,0.42,2.2,0.66,1.6,0.9
2966,74.93027778,18.20777778,7.65,0.65,0.81,567,14.2,336,7.3,0.39,2.72,0.74,1.74,0.84
2967,73.74777778,18.20805556,7.2,0.32,0.14,36,18,724,10,0.56,14,2.6,21,2.62
2968,74.36722222,18.20805556,8.36,0.37,0.56,156.8,7.34,484.96,3.51,0.3,1.43,1.53,3.01,1.67
2969,74.37111111,18.20805556,8.41,0.88,0.62,169.34,4.75,425.6,2.02,0.53,1.4,1.01,2.69,1.02
2970,74.9175,18.20805556,7.35,0.72,0.3,315,16.15,380,6.9,0.68,2.42,0.89,1.62,0.98
2971,74.91805556,18.20805556,7.15,0.7,0.84,588,16.2,627,8.6,0.47,3.17,0.86,2.14,0.9
2972,74.92138889,18.20805556,7.48,0.48,0.39,273,16.1,560,6.3,0.62,2.1,0.75,1.7,0.54
2973,74.92833333,18.20805556,7.82,0.89,0.27,189,14.96,560,9.1,0.48,3.14,0.42,1.48,0.8
2974,74.92944444,18.20805556,7.37,0.89,0.78,546,10.44,336,6.2,0.73,2.8,0.42,1.62,0.74
2975,74.97472222,18.20805556,7.72,0.61,0.54,378,14.2,604,8.4,0.7,2.48,0.65,1.56,0.9
2976,73.63333333,18.20833333,4.9,0.8,0.72,180,8,162.2,14.16,0.6,35.22,3.98,10.82,0.35
2977,73.63888889,18.20833333,5,0.54,1.17,292.5,4,110.98,6.28,0.84,43.53,5.03,13.6,0.44
