S.No,Long,Lat,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,B
54,74.8625,17.95472222,7.66,0.72,0.42,294,13.4,437,8.2,0.48,2.74,0.54,1.98,0.8
55,74.88416667,17.95472222,8.02,0.75,0.45,315,14.4,672,8.5,0.67,1.6,0.45,1.65,0.55
56,74.87027778,17.955,7.5,0.91,0.48,336,13.89,549,9.1,0.9,3.2,0.5,2.16,0.4
57,74.83472222,17.95527778,7.98,0.72,0.69,483,12.2,761,6.3,0.4,2.4,0.55,2.7,0.65
58,74.86055556,17.95527778,7.7,0.9,0.67,483,13.3,650,8.2,0.52,3.16,0.58,2.1,0.52
59,74.86111111,17.95527778,7.74,0.94,0.72,504,12.34,862,8.4,0.74,2.98,0.76,2.16,0.76
60,74.86138889,17.95527778,7.81,0.96,0.36,252,13.44,930,6.3,0.43,2.92,0.7,1.9,0.48
61,74.86166667,17.95527778,7.7,0.58,0.27,189,13.36,952,6.3,0.78,4,0.72,2.26,0.5
62,74.84944444,17.95555556,7.57,0.55,0.72,504,12.2,1624,8.4,0.35,2.75,0.45,2.85,0.85
63,74.85611111,17.95555556,7.77,0.58,0.78,336,18.42,1064,8.4,0.74,3.26,0.76,2.7,0.76
64,74.86222222,17.95555556,7.66,0.7,0.75,525,12.24,818,7.1,0.52,2.92,0.6,2.16,0.74
65,74.86583333,17.95555556,7.9,0.51,0.75,525,12.82,1131,8.3,0.8,3.1,0.7,1.98,0.72
66,74.86694444,17.95555556,7.77,0.7,0.21,147,12.6,728,8.2,0.52,2.16,0.74,2.12,0.7
67,74.87333333,17.95555556,7.72,0.84,0.84,588,12.34,784,6.3,0.74,2.98,0.38,1.76,0.48
68,74.87555556,17.95555556,7.39,0.86,0.78,546,12.3,706,7.1,0.44,3.18,0.96,2.72,0.72
69,74.87305556,17.95583333,7.88,0.66,0.54,378,13.42,997,8.2,0.52,3.45,0.76,1.92,0.88
70,74.87444444,17.95583333,7.74,0.87,0.45,315,12.69,448,7.1,0.48,3.18,0.58,2.14,0.52
71,74.8775,17.95583333,7.66,0.7,0.27,189,12.49,336,6.1,0.48,2.82,0.66,2,0.76
72,74.87194444,17.95611111,7.56,0.84,0.99,693,15.32,582,8.4,0.26,2.92,0.6,2.26,0.48
73,74.875,17.95611111,7.89,0.88,0.3,210,10.26,784,8.2,0.6,2.1,0.5,2.14,0.5
74,74.84944444,17.95638889,7.85,0.74,0.84,588,14.5,1568,9,0.2,4.1,0.75,2.62,0.6
75,74.87166667,17.95638889,7.72,0.98,0.39,273,13.24,616,7.1,0.48,2.98,0.56,2.24,0.72
76,74.87555556,17.95638889,7.51,0.78,0.24,168,13.4,616,6.4,0.74,3.42,0.72,1.96,0.42
77,74.85111111,17.95666667,7.9,0.75,0.87,609,11.6,2240,7.5,0.3,3.22,0.6,2.73,0.7
78,74.87583333,17.95666667,7.72,0.98,0.31,231,13.26,694,8.4,0.6,2.98,0.9,2.18,0.98
79,74.85333333,17.95722222,7.33,0.63,0.39,273,17.2,1478,9,0.55,2.98,0.7,2.3,0.85
80,74.85472222,17.95722222,7.87,0.57,0.87,609,12.3,1075,6.2,0.5,2.81,0.51,2.25,0.7
81,74.85916667,17.95722222,7.58,0.76,0.3,210,12.48,1434,7.5,0.78,3.16,0.58,2.24,0.58
82,74.85,17.9575,8,0.58,0.75,525,11.2,907,7.2,0.4,4.17,0.6,2.9,0.8
83,74.85972222,17.9575,7.54,0.72,0.45,315,13.89,840,6.3,0.43,3.58,0.46,2,0.48
84,74.86861111,17.9575,7.56,0.72,0.34,378,12.36,884,8.4,0.8,3.46,0.44,2.26,0.56
85,74.87472222,17.9575,7.93,0.9,0.33,231,11.46,963,8.4,0.5,2.9,0.72,2.76,0.72
86,74.89055556,17.95777778,7.76,0.72,0.48,336,11.5,448,7.9,0.4,2.4,0.4,1.95,0.8
87,74.85,17.95805556,7.98,0.7,0.63,441,16.5,873,8.4,0.5,2.66,0.8,2.12,0.7
88,74.86611111,17.95805556,7.76,0.64,0.9,630,12.34,638,9.1,0.43,2.2,0.98,2,0.58
89,74.87222222,17.95805556,7.76,0.54,0.84,588,12.3,728,8.4,0.39,3.1,0.72,2.1,0.76
