17.895,73.401,0.63157
17.895,73.401,0.65262
17.895,73.402,0.39998
17.895,73.404,0.82105
17.895,73.404,0.88421
17.895,73.405,0.58946
17.895,73.406,0.88421
17.895,73.407,0.97895
17.895,73.409,0.92631
17.895,73.434,0.39998
17.895,73.481,0.88421
17.895,73.482,0.55788
17.913,74.903,0.3684
17.913,74.64,0.16764
17.929,75.364,0.50876
17.942,74.883,0.21987
17.947,74.874,0.22804
17.947,74.875,0.50876
17.949,74.846,0.28068
17.949,74.847,0.35086
17.95,74.847,0.47367
17.95,74.846,0.17541
17.95,74.847,0.43858
17.95,74.852,0.56139
17.951,74.846,0.14032
17.951,74.848,0.26313
17.951,74.848,0.5263
17.951,74.856,0.17541
17.951,74.876,0.10523
17.951,74.854,0.43858
17.951,74.854,0.43858
17.951,74.856,0.5263
17.952,74.848,0.54384
17.952,74.851,0.54384
17.952,74.858,0.49121
17.952,74.865,0.38594
17.952,74.853,0.24559
17.952,74.857,0.47367
17.952,74.852,0.49121
17.953,74.87,0.22804
17.953,74.856,0.24559
17.953,74.85,0.28068
17.953,74.857,0.15787
17.953,74.857,0.42103
17.953,74.849,0.35086
17.953,74.856,0.42103
17.953,74.866,0.19296
17.953,74.876,0.28068
17.954,74.849,0.35086
17.954,74.896,0.40349
17.955,74.862,0.24559
17.955,74.884,0.26313
17.955,74.87,0.28068
17.955,74.835,0.40349
17.955,74.861,0.40349
17.955,74.861,0.42103
17.955,74.861,0.2105
17.955,74.862,0.15787
17.956,74.849,0.42103
17.956,74.856,0.28068
17.956,74.862,0.43858
17.956,74.866,0.43858
17.956,74.867,0.12278
17.956,74.873,0.49121
17.956,74.876,0.45612
17.956,74.873,0.31577
17.956,74.874,0.26313
17.956,74.877,0.15787
17.956,74.872,0.57893
17.956,74.875,0.17541
17.956,74.849,0.49121
17.956,74.872,0.22804
17.956,74.876,0.14032
17.957,74.851,0.50876
17.957,74.876,0.19296
17.957,74.853,0.22804
17.957,74.855,0.50876
17.957,74.859,0.17541
17.957,74.85,0.43858
17.957,74.86,0.26313
17.957,74.869,0.31577
17.957,74.875,0.19296
17.958,74.891,0.28068
17.958,74.85,0.3684
17.958,74.866,0.5263
17.958,74.872,0.49121
17.958,74.878,0.24559
17.958,74.856,0.31577
17.958,74.86,0.35086
17.959,74.888,0.2105
17.959,74.857,0.40349
