17.895,73.401,0.5404
17.895,73.401,0.56061
17.895,73.402,0.33838
17.895,73.403,0.88384
17.895,73.403,0.89394
17.895,73.404,0.70202
17.895,73.404,0.75758
17.895,73.404,0.89394
17.895,73.405,0.50505
17.895,73.406,0.75758
17.895,73.407,0.83838
17.895,73.409,0.79293
17.895,73.434,0.33838
17.895,73.481,0.75758
17.895,73.482,0.47475
17.913,74.903,0.31313
17.913,74.64,0.36869
17.929,75.364,0.16162
17.942,74.883,0.24747
17.947,74.874,0.19192
17.947,74.875,0.43434
17.949,74.846,0.23737
17.949,74.847,0.29798
17.95,74.847,0.43434
17.95,74.846,0.14646
17.95,74.847,0.37374
17.95,74.852,0.4798
17.951,74.846,0.11616
17.951,74.848,0.22222
17.951,74.848,0.44949
17.951,74.856,0.14646
17.951,74.876,0.085859
17.951,74.854,0.37374
17.951,74.854,0.37374
17.951,74.856,0.44949
17.952,74.848,0.46465
17.952,74.851,0.46465
17.952,74.858,0.41919
17.952,74.865,0.32828
17.952,74.853,0.20707
17.952,74.857,0.40404
17.952,74.852,0.41919
17.953,74.87,0.19192
17.953,74.856,0.20707
17.953,74.85,0.23737
17.953,74.857,0.13131
17.953,74.857,0.35859
17.953,74.849,0.29798
17.953,74.856,0.35859
17.953,74.866,0.16162
17.953,74.876,0.23737
17.954,74.849,0.29798
17.954,74.896,0.34343
17.955,74.862,0.20707
17.955,74.884,0.22222
17.955,74.87,0.23737
17.955,74.835,0.34343
17.955,74.861,0.33333
17.955,74.861,0.35859
17.955,74.861,0.17677
17.955,74.862,0.13131
17.956,74.849,0.35859
17.956,74.856,0.38889
17.956,74.862,0.37374
17.956,74.866,0.37374
17.956,74.867,0.10101
17.956,74.873,0.41919
17.956,74.876,0.38889
17.956,74.873,0.26768
17.956,74.874,0.22222
17.956,74.877,0.13131
17.956,74.872,0.49495
17.956,74.875,0.14646
17.956,74.849,0.41919
17.956,74.872,0.19192
17.956,74.876,0.11616
17.957,74.851,0.43434
17.957,74.876,0.15152
17.957,74.853,0.19192
17.957,74.855,0.43434
17.957,74.859,0.14646
