17.895,73.401,0.559
17.895,73.401,0.17745
17.895,73.402,0.21355
17.895,73.403,0.63969
17.895,73.403,0.24895
17.895,73.404,0.46131
17.895,73.404,0.35654
17.895,73.404,0.24895
17.895,73.405,0.44644
17.895,73.406,0.4967
17.895,73.407,0.2001
17.895,73.409,0.29
17.895,73.434,0.21355
17.895,73.481,0.35654
17.895,73.482,0.29637
17.913,74.903,0.45754
17.913,74.64,0.2002
17.929,75.364,0.6003
17.942,74.883,0.5777
17.947,74.874,0.668
17.947,74.875,0.63784
17.949,74.846,0.45017
17.949,74.847,0.78797
17.95,74.846,0.31478
17.95,74.847,0.8255
17.951,74.846,0.28529
17.951,74.848,0.093605
17.951,74.848,0.36773
17.951,74.856,0.72028
17.951,74.876,0.668
17.951,74.854,0.41264
17.951,74.854,0.14253
17.951,74.856,0.36773
17.952,74.851,0.78797
17.952,74.858,0.2625
17.952,74.865,0.20218
17.952,74.853,0.28864
17.952,74.857,0.97564
17.952,74.852,0.8255
17.953,74.87,0.45017
17.953,74.856,0.88583
17.953,74.85,0.41264
17.953,74.857,0.6003
17.953,74.849,0.48033
17.953,74.856,0.54803
17.953,74.866,0.45017
17.953,74.876,0.63717
17.954,74.849,0.7129
17.954,74.896,0.26988
17.955,74.862,0.29267
17.955,74.884,0.45017
17.955,74.87,0.36773
17.955,74.835,0.50982
17.955,74.861,0.43543
17.955,74.861,0.57752
17.955,74.861,0.62309
17.955,74.862,0.63784
17.956,74.856,0.7129
17.956,74.862,0.54803
17.956,74.866,0.75781
17.956,74.867,0.4877
17.956,74.873,0.52524
17.956,74.876,0.47296
17.956,74.873,0.668
17.956,74.874,0.30004
17.956,74.877,0.22497
17.956,74.872,0.38985
17.956,74.875,0.52524
17.956,74.872,0.41264
17.956,74.876,0.41264
17.957,74.876,0.46492
17.957,74.853,0.99038
17.957,74.855,0.72028
17.957,74.859,0.96089
17.957,74.85,0.60768
17.957,74.86,0.56277
17.957,74.869,0.59226
17.957,74.875,0.64521
17.958,74.891,0.30004
17.958,74.85,0.58489
17.958,74.866,0.42738
17.958,74.872,0.4877
17.958,74.878,0.66063
17.958,74.856,0.78797
17.959,74.888,0.42001
17.959,74.857,0.8255
17.959,74.877,0.58556
17.959,74.854,0.64521
17.959,74.856,0.44213
17.959,74.865,0.73502
17.959,74.895,0.30741
17.959,74.851,0.49508
17.959,74.876,0.4877
17.959,74.878,0.63046
17.96,74.873,0.56277
17.96,74.895,0.32216
17.96,75.521,0.2625
17.96,74.859,0.45017
17.96,74.86,0.77323
17.96,74.874,0.53998
17.96,74.868,0.69012
17.96,74.914,0.41264
17.961,74.859,0.52524
17.961,74.861,0.30741
17.961,74.862,0.25513
17.961,74.867,0.62242
17.961,74.875,0.4877
17.961,74.861,0.7129
17.961,74.894,0.35969
17.961,74.904,0.30004
17.961,74.914,0.28462
