,latitudes,longitudes,values,variance
47,17.92,74.92,0.2780927980207774,0.017510092387959458
48,17.92,74.93,0.2785104840796279,0.017546367109494903
49,17.93,73.4,0.5277925823510203,0.017997288880552124
50,17.93,73.41,0.5278124037809183,0.017975737723251103
51,17.93,73.42,0.5265994171651138,0.017968593734254076
52,17.93,73.43,0.5245506083325188,0.017972901143879942
53,17.93,73.44,0.5220716038983495,0.01798517760468415
54,17.93,73.45,0.5194451057404331,0.018002655277142367
55,17.93,73.46,0.5168736664810667,0.01802357705178302
56,17.93,73.47,0.5143421531453086,0.018047164273291613
57,17.93,73.48,0.5117140266479754,0.018073325648833457
58,17.93,73.49,0.5089172097216468,0.018102054147421002
59,17.93,73.5,0.5059231275403225,0.018132893496618598
60,17.93,73.51,0.5027523880698841,0.018164977186071622
61,17.93,74.62,0.31919401760080446,0.018124049509011475
62,17.93,74.63,0.3182581067786116,0.018117014228226674
63,17.93,74.64,0.31722319627769974,0.018109956249815054
64,17.93,74.65,0.31612127529341655,0.018103682466897378
65,17.93,74.66,0.31498393354475923,0.018096808005248245
66,17.93,74.67,0.313839707828711,0.01808764341175416
67,17.93,74.87,0.2815356960870911,0.017330018078842012
68,17.93,74.88,0.2786315814056348,0.017334209088141733
69,17.93,74.89,0.27703344603711566,0.017348228107767677
70,17.93,74.9,0.27662019987555575,0.017369705701835162
71,17.93,74.91,0.2769764956360282,0.017397852092850816
72,17.93,74.92,0.2776799747866722,0.017432261531352182
73,17.93,74.93,0.27842162068126675,0.01747160005095652
74,17.93,74.94,0.2790248297950231,0.017513919600423606
75,17.93,74.95,0.2793576735638411,0.017557299772225716
76,17.93,74.96,0.2794085862933168,0.017600412775948534
77,17.93,74.97,0.27923784320337275,0.017642640860233247
78,17.93,75.36,0.28548459757666533,0.018351515272870943
79,17.94,73.4,0.5188442438580051,0.01803838909524477
80,17.94,73.41,0.5189637719156052,0.018016130998576355
81,17.94,73.42,0.5181671518845374,0.018005024359467808
82,17.94,73.43,0.5167133955917639,0.01800350646316867
83,17.94,73.44,0.514856946929736,0.018009475844627015
84,17.94,73.45,0.5128147387636485,0.01802098717598112
85,17.94,73.46,0.5107199320538997,0.0180366020663787
86,17.94,73.47,0.508540553553441,0.01805545233544607
87,17.94,73.48,0.5062031594940105,0.018077087753499914
88,17.94,73.49,0.5036536279188488,0.018101190763878113
89,17.94,73.5,0.5008778635726532,0.018127325370578998
90,17.94,73.51,0.4978792000004883,0.018154874297346104
91,17.94,73.52,0.49461906912283216,0.018183137816553688
92,17.94,74.61,0.31905391435084923,0.018084146746859615
93,17.94,74.62,0.3181473962607334,0.018081493469152384
94,17.94,74.63,0.317175296561492,0.01807759138268795
95,17.94,74.64,0.31611438126533603,0.018072780985554794
96,17.94,74.65,0.31499988372582144,0.01806712919163678
97,17.94,74.66,0.31388040593745353,0.018060020715450535
98,17.94,74.67,0.31274293666509384,0.0180505545611361
99,17.94,74.68,0.31159994017551257,0.018038025805458265
100,17.94,74.85,0.28943179234766675,0.017272215064416327
101,17.94,74.86,0.28495373883324937,0.01724611257114322
102,17.94,74.87,0.2800025830331163,0.01723984544240585
103,17.94,74.88,0.2764554673435783,0.017247391643465424
104,17.94,74.89,0.27499287089436647,0.017265780176464254
105,17.94,74.9,0.2751582476039353,0.01729005566458891
106,17.94,74.91,0.2762511663413814,0.017320070882995187
107,17.94,74.92,0.27768655759318356,0.017357122270900256
108,17.94,74.93,0.2788998790383544,0.017400355966129866
109,17.94,74.94,0.2796397019806897,0.01744671383644627
110,17.94,74.95,0.2798951161168613,0.017493217935355687
111,17.94,74.96,0.279780624593793,0.017538283053276045
112,17.94,74.97,0.2794239715905743,0.01758160625444622
113,17.94,74.98,0.2788926944158027,0.017623541040487176
114,17.94,74.99,0.2781808343335779,0.017664464333368893
115,17.94,75.0,0.27733529207431173,0.01770447193746033
116,17.94,75.01,0.2764515860718622,0.017743456089793403
117,17.94,75.27,0.2880108889021439,0.01834303549619197
118,17.94,75.28,0.28759442445953715,0.0183466336382955
119,17.94,75.29,0.28712690003984376,0.018348286555346493
120,17.94,75.3,0.2866790485148332,0.01834797038688429
121,17.94,75.31,0.28627956369352003,0.01834566916506265
122,17.94,75.32,0.28598238966377704,0.018341379980178017
123,17.94,75.33,0.28587389213933906,0.018335135783446387
124,17.94,75.34,0.28588389042006623,0.0183270608794398
125,17.94,75.35,0.2859220451218166,0.01831757881191801
126,17.94,75.36,0.28598501394026127,0.01830827589465892
127,17.94,75.37,0.28624961053600034,0.018302863335033843
128,17.94,75.38,0.28664452698928417,0.01830066888051362
129,17.94,75.39,0.2870869959918072,0.01829827930427171
130,17.95,73.4,0.5099176207013046,0.018075809446973803
131,17.95,73.41,0.5101102542061942,0.01805285693084269
132,17.95,73.42,0.5095898478544714,0.018038888582019606
133,17.95,73.43,0.5085797971603881,0.018032989005361336
134,17.95,73.44,0.5072347485585054,0.018033838458889558
135,17.95,73.45,0.5056943149304478,0.018040083867720307
136,17.95,73.46,0.5040330666378132,0.01805059745745883
137,17.95,73.47,0.5022125492576047,0.01806457188885294
138,17.95,73.48,0.5001700355902899,0.018081478029099703
139,17.95,73.49,0.4978704549511775,0.018100933339457
140,17.95,73.5,0.4953067057154655,0.018122548293839177
141,17.95,73.51,0.49245446618964156,0.01814582394349965
142,17.95,73.52,0.4892872442837921,0.018170150166661705
143,17.95,73.53,0.48583818919420224,0.018194880460785042
144,17.95,74.6,0.31890579249004225,0.018038170674962346
145,17.95,74.61,0.31795067562495705,0.01804009227365169
146,17.95,74.62,0.3169858528474559,0.018040500911852372
147,17.95,74.63,0.3159973069025065,0.018039277941578377
148,17.95,74.64,0.31493994817168053,0.0180364189614261
149,17.95,74.65,0.3138414973586134,0.018031803239919708
150,17.95,74.66,0.3127359622529645,0.0180250565125989
151,17.95,74.67,0.3116343356198134,0.018015652212459248
152,17.95,74.68,0.31053262125850994,0.01800309415025015
153,17.95,74.69,0.30945052374450494,0.017986999432103322
154,17.95,74.7,0.3084248758490615,0.017967103691490287
155,17.95,74.83,0.2937769195775951,0.017336817969459666
156,17.95,74.84,0.2922353257490085,0.01725926288256696
157,17.95,74.85,0.29048902154401324,0.0171910721222295
158,17.95,74.86,0.2844212819745782,0.017163589915774942
159,17.95,74.87,0.2776820176247004,0.017159847953107273
160,17.95,74.88,0.27371477137452144,0.017171166703632418
161,17.95,74.89,0.2729735081558675,0.017192179450119457
162,17.95,74.9,0.2740048485473261,0.017215766951006597
163,17.95,74.91,0.2760433597962964,0.01724562507693756
164,17.95,74.92,0.2784595923289434,0.017285456158505966
165,17.95,74.93,0.2801989970882867,0.017334298906032542
166,17.95,74.94,0.2809189589994535,0.01738564853611731
167,17.95,74.95,0.28095558839864404,0.017434999861200322
168,17.95,74.96,0.2805341897441971,0.017480985418493557
169,17.95,74.97,0.2798720906892186,0.017524179637236625
170,17.95,74.98,0.2790853663685906,0.017565918798520454
171,17.95,74.99,0.2782219869181847,0.017607062611336603
172,17.95,75.0,0.27724741095216693,0.01764759724161378
173,17.95,75.01,0.27620176771742905,0.017687237224308882
174,17.95,75.02,0.2752084035664993,0.01772572080597169
175,17.95,75.03,0.2743865189565546,0.017762821664230564
176,17.95,75.04,0.2737892857628751,0.017798320280003773
177,17.95,75.05,0.27337911380755425,0.017832007411870108
178,17.95,75.18,0.2846505210382619,0.018181284148978516
179,17.95,75.19,0.2856132550873093,0.018199777826433155
180,17.95,75.2,0.2864571686578382,0.01821698136351067
181,17.95,75.21,0.2871728129184531,0.018232854951300198
182,17.95,75.22,0.28774056053898767,0.018247318960579267
183,17.95,75.23,0.28813080705048477,0.0182602690182862
184,17.95,75.24,0.28833603346189046,0.01827159359251336
185,17.95,75.25,0.28835800121614713,0.01828119198925078
186,17.95,75.26,0.28823153117420564,0.01828897584016205
187,17.95,75.27,0.2879700126818388,0.01829487481820869
188,17.95,75.28,0.2876020506562901,0.01829884511247926
189,17.95,75.29,0.28716920678031693,0.01830086275446751
190,17.95,75.3,0.2867226022322255,0.01830092283442605
191,17.95,75.31,0.28633174081404816,0.018299037469540112
192,17.95,75.32,0.28603228866384844,0.01829524955063647
193,17.95,75.33,0.2859346980145567,0.01828967245265353
194,17.95,75.34,0.286031683176899,0.01828257311949011
195,17.95,75.35,0.28623309034021355,0.018274550272447045
196,17.95,75.36,0.286485991487974,0.018266747109653876
197,17.95,75.37,0.2868297304756355,0.018260399116174334
198,17.95,75.38,0.28721614178585464,0.018255383140476367
199,17.95,75.39,0.2876157679275979,0.018250476168637716
200,17.95,75.4,0.2880985248579228,0.018244747898038052
201,17.95,75.41,0.28872061064912385,0.0182377727474365
202,17.95,75.42,0.28949442863335045,0.01822939627703768
203,17.96,73.4,0.5009854260757196,0.018109338866058863
204,17.96,73.41,0.5012300383207955,0.01808564844924624
205,17.96,73.42,0.5009195790563559,0.018069413782786595
206,17.96,73.43,0.500253733863255,0.018060046882626156
207,17.96,73.44,0.49931356413751454,0.018056666362610368
208,17.96,73.45,0.4982010266069092,0.018058302512267064
209,17.96,73.46,0.4969212099547801,0.018064074179239047
210,17.96,73.47,0.4954350512683652,0.01807329158688674
211,17.96,73.48,0.4936706086178196,0.01808548276702343
212,17.96,73.49,0.49161144996921646,0.018100345853895698
213,17.96,73.5,0.48923804343912825,0.018117620109420078
214,17.96,73.51,0.48650952307463835,0.018136913028041195
215,17.96,73.52,0.4834369862932322,0.01815762205817465
216,17.96,73.53,0.4800345284149799,0.01817902716511429
217,17.96,73.54,0.47633934168409703,0.018200450293758687
218,17.96,74.59,0.3189341771946274,0.017986166740176904
219,17.96,74.6,0.3178684784193692,0.017992631883609212
220,17.96,74.61,0.316840393576907,0.01799772657647441
221,17.96,74.62,0.31583391689582707,0.01800097611113883
222,17.96,74.63,0.3148304837854536,0.018002128729828315
223,17.96,74.64,0.3137913597368593,0.018001057577769933
224,17.96,74.65,0.3127136400596817,0.01799761336109829
225,17.96,74.66,0.3116357270111626,0.017991541390473622
226,17.96,74.67,0.3105791951216547,0.017982503706328062
227,17.96,74.68,0.30954038198948525,0.017970150107351847
228,17.96,74.69,0.3085270127950033,0.017954173294041156
229,17.96,74.7,0.30754331901702736,0.017934331866976058
230,17.96,74.71,0.30657305959761005,0.017910456927064115
231,17.96,74.82,0.2942576531787082,0.01738262509597761
232,17.96,74.83,0.29279431616833324,0.017308648543029503
233,17.96,74.84,0.29091931663067233,0.01723316266064349
234,17.96,74.85,0.2876519490973827,0.017163027107530534
235,17.96,74.86,0.32828000000000807,3.8953320717772355e-16
236,17.96,74.87,0.2763693371938232,0.017109854760247557
237,17.96,74.88,0.27268290904318343,0.017116825444237198
238,17.96,74.89,0.2721984123803311,0.01713394520874238
239,17.96,74.9,0.2739097861995207,0.017152253231892824
240,17.96,74.91,0.2770301983531849,0.017178596826046236
241,17.96,74.92,0.2807990986606741,0.017220957065500378
242,17.96,74.93,0.2825024314451231,0.017278108044411957
243,17.96,74.94,0.28267330561979237,0.017334271684713274
244,17.96,74.95,0.2823234286227394,0.017384732702716107
245,17.96,74.96,0.28157973549300613,0.017429485576201758
246,17.96,74.97,0.28053861191336976,0.01747046180980118
247,17.96,74.98,0.27944060701234064,0.01751075139632484
248,17.96,74.99,0.278367958901528,0.017551809142259085
