,latitudes,longitudes,values,variance
0,17.89,73.4,0.6825411269302318,0.006654149694375161
1,17.89,73.41,0.6872797068644296,0.006622756203366881
2,17.89,73.42,0.6700673683163286,0.006761855434330735
3,17.89,73.43,0.6504410328226552,0.006879242948765415
4,17.89,73.44,0.6376708647229983,0.007000068718628583
5,17.89,73.45,0.6306878681127138,0.007117723521093132
6,17.89,73.46,0.6248557248336494,0.0071968288102246605
7,17.89,73.47,0.6194937554942815,0.007237361217569334
8,17.89,73.48,0.6130591064531998,0.007269737848948114
9,17.9,73.4,0.6699316664786965,0.006635858378399585
10,17.9,73.41,0.6743107923475922,0.006604369812065995
11,17.9,73.42,0.6568859478425988,0.0067402251409934165
12,17.9,73.43,0.6371190077664338,0.006854031124106527
13,17.9,73.44,0.6242629631832273,0.006970673456723096
14,17.9,73.45,0.6172807552129969,0.007083775127919874
15,17.9,73.46,0.611349527344894,0.007158538531806466
16,17.9,73.47,0.6058751794971384,0.007195014809868168
17,17.9,73.48,0.599352803293493,0.007223148933456734
18,17.91,73.4,0.6447113265120492,0.006868834493050868
19,17.91,73.41,0.6442117399839178,0.006818829618365581
20,17.91,73.42,0.6344366018751515,0.006870130805360284
21,17.91,73.43,0.6209540602503858,0.006953439933152387
22,17.91,73.44,0.6094215705303841,0.007043891147509044
23,17.91,73.45,0.6008577097318858,0.007130279663514446
24,17.91,73.46,0.5935259336456346,0.0071994944518594785
25,17.91,73.47,0.5861846268476153,0.00725483416106007
26,17.91,73.48,0.577283536047379,0.00732538991218248
27,17.91,73.49,0.565137783512015,0.007451119766059549
28,17.91,74.64,0.25318694478522036,0.00797085205757026
29,17.91,74.9,0.3347879563825153,0.0070725905277790775
30,17.92,73.4,0.6168893417360551,0.007098621345440696
31,17.92,73.41,0.6152757516168162,0.007041629820839652
32,17.92,73.42,0.6086911515308981,0.007050464752429259
33,17.92,73.43,0.5992840828423402,0.0070965938201736365
34,17.92,73.44,0.5896585741376523,0.007158212058565993
35,17.92,73.45,0.580800424794194,0.007222836778104928
36,17.92,73.46,0.5724034751772981,0.007284244070634088
37,17.92,73.47,0.5638170819473722,0.007346044706059978
38,17.92,73.48,0.5540009681139254,0.007422539641428849
39,17.92,73.49,0.5424034375427301,0.007528128821515582
40,17.92,73.5,0.5296178154230824,0.007661965025346343
41,17.92,74.63,0.25107626156494306,0.007936975648702781
42,17.92,74.64,0.2529778852571521,0.007899225404868824
43,17.92,74.65,0.2574893898058161,0.00795913223049555
44,17.92,74.89,0.3296638462076055,0.006854872119501745
45,17.92,74.9,0.3309658629072769,0.006874370684740874
46,17.92,74.91,0.3341780281707432,0.006942835856287037
47,17.92,74.92,0.33854356585496126,0.0070454977162731115
48,17.92,74.93,0.3431932690965561,0.007155093217643544
49,17.93,73.4,0.5890213150347086,0.007307929166901796
50,17.93,73.41,0.586985467148616,0.00724715898698397
51,17.93,73.42,0.5818509862265876,0.007232916366249136
52,17.93,73.43,0.5745573521784536,0.0072511088222831244
53,17.93,73.44,0.5662764576590305,0.007287761906304059
54,17.93,73.45,0.5577018614482263,0.007333305543638926
55,17.93,73.46,0.5489767001415077,0.007383543151896038
56,17.93,73.47,0.5397415726775945,0.007440270958390422
57,17.93,73.48,0.5295200210495895,0.007509982586887425
58,17.93,73.49,0.5183386075415929,0.007598887107172337
59,17.93,73.5,0.5066927365255727,0.007707646561494606
60,17.93,73.51,0.4948441328887807,0.007831440660885033
61,17.93,74.62,0.24919377873681253,0.007914388948295041
62,17.93,74.63,0.2507225921469965,0.00788842126022864
63,17.93,74.64,0.2531228542067831,0.007886845697861819
64,17.93,74.65,0.25689331204655924,0.007924438287516057
65,17.93,74.66,0.26177362662860626,0.007984061210712889
66,17.93,74.67,0.2673194026208373,0.008043363971610902
67,17.93,74.87,0.33295300405841965,0.00660680098650458
68,17.93,74.88,0.3253422527705182,0.006617054550580714
69,17.93,74.89,0.3225481989167527,0.00664866065039304
70,17.93,74.9,0.3246365522671482,0.006696823439158698
71,17.93,74.91,0.3299900540408268,0.006764748490559209
72,17.93,74.92,0.33709655509460046,0.006854824717004006
73,17.93,74.93,0.3441757868785045,0.0069607030711806
74,17.93,74.94,0.3497578131855106,0.007074179023733402
75,17.93,74.95,0.35329459610712277,0.007187375165152388
76,17.93,74.96,0.35493498398009243,0.0072953226263435976
77,17.93,74.97,0.3551295816978677,0.007396922128137196
78,17.93,75.36,0.3906995435890299,0.008114386075565234
79,17.94,73.4,0.5613169722531325,0.0074934399797001025
80,17.94,73.41,0.5589636954245543,0.007429766475116834
81,17.94,73.42,0.5544055077181539,0.007401032633376514
82,17.94,73.43,0.5480654086983087,0.007399266910637056
83,17.94,73.44,0.5405702346459901,0.007415777664031563
84,17.94,73.45,0.532401125153483,0.007443957249747139
85,17.94,73.46,0.5235574194643939,0.0074806174545839635
86,17.94,73.47,0.5139921083633867,0.00752622893066636
87,17.94,73.48,0.503771393526005,0.007583833995546006
88,17.94,73.49,0.4929768784649259,0.007656625288370542
89,17.94,73.5,0.4821509963123722,0.007745510624789698
90,17.94,73.51,0.47125187612758873,0.007848404862575705
91,17.94,73.52,0.46037090731013225,0.007961253935353673
92,17.94,74.61,0.24630385773476737,0.007843378762621655
93,17.94,74.62,0.2478446615973178,0.007841297391111023
94,17.94,74.63,0.2498010083554762,0.007844900708246647
95,17.94,74.64,0.2524947960251402,0.007861832398580256
96,17.94,74.65,0.2560899890831458,0.007895897074858499
97,17.94,74.66,0.26053438822660446,0.00794091457097498
98,17.94,74.67,0.2656424139143886,0.007986074238306159
99,17.94,74.68,0.27127126004886987,0.00802284083876978
100,17.94,74.85,0.35344633972139755,0.006387771665532478
101,17.94,74.86,0.34321667051725036,0.00636153333859853
102,17.94,74.87,0.32786398837371866,0.006366985460170069
103,17.94,74.88,0.3156885325962854,0.006387721730789441
104,17.94,74.89,0.3125890700480711,0.006445658193405421
105,17.94,74.9,0.31656586885822025,0.006507706380694807
