,latitudes,longitudes,values,variance
0,17.89,73.4,0.6337202085965408,0.010899484268606058
1,17.89,73.41,0.6349606963461778,0.01086910135221295
2,17.89,73.42,0.62397808391887,0.010943586771291916
3,17.89,73.43,0.6116050362224612,0.011017258562880142
4,17.89,73.44,0.6015327426237627,0.011096491603804073
5,17.89,73.45,0.5934888700656319,0.01117676353315094
6,17.89,73.46,0.5859877943225132,0.011243229849750801
7,17.89,73.47,0.5787678202244686,0.011295816742330428
8,17.89,73.48,0.5710280300040105,0.011346514613223524
9,17.9,73.4,0.6247754025585357,0.010877096730663508
10,17.9,73.41,0.625836193053036,0.010846160550911806
11,17.9,73.42,0.6147007779799112,0.010918466932744779
12,17.9,73.43,0.6022247843423031,0.010989758794662095
13,17.9,73.44,0.5920654735373615,0.011066341510389323
14,17.9,73.45,0.5839625687439953,0.011143793713178893
15,17.9,73.46,0.576387782743346,0.011207512460624626
16,17.9,73.47,0.5690658894753116,0.011257460221125667
17,17.9,73.48,0.5612243944852905,0.011305474466211598
18,17.91,73.4,0.6059882120549298,0.010997760738007938
19,17.91,73.41,0.6052433329532518,0.010958024238734774
20,17.91,73.42,0.5985267264446031,0.010982350712227766
21,17.91,73.43,0.5891513443536142,0.01103286433645511
22,17.91,73.44,0.5799157285880361,0.011093200157771148
23,17.91,73.45,0.5715416858264585,0.011155865800342925
24,17.91,73.46,0.5635211097375633,0.011214257762990306
25,17.91,73.47,0.5553665567779518,0.011269072223860043
26,17.91,73.48,0.5463504266192128,0.011331333364489075
27,17.91,73.49,0.5356407979419834,0.011415895942735056
28,17.91,74.64,0.25555688647289726,0.01181820853702853
29,17.91,74.9,0.3347532119106403,0.010882631975103908
30,17.92,73.4,0.5855374807225868,0.011121142467233468
31,17.92,73.41,0.5842831097833175,0.011078652085037666
32,17.92,73.42,0.5794636012912828,0.011078726025497749
33,17.92,73.43,0.5723490379123073,0.011106191273750114
34,17.92,73.44,0.5643990047595616,0.011148130850542967
35,17.92,73.45,0.5563015272275326,0.011196639946651363
36,17.92,73.46,0.5480523627441686,0.011247491120545324
37,17.92,73.47,0.5394481144867492,0.011301045991235463
38,17.92,73.48,0.5301009564498891,0.011362116906335255
39,17.92,73.49,0.5197457463889227,0.011435477722869142
40,17.92,73.5,0.5087080345522141,0.011519892899771181
41,17.92,74.63,0.25057354899185225,0.011764784958772964
42,17.92,74.64,0.25392005797574735,0.011745659019126716
43,17.92,74.65,0.2583782219524297,0.011758522320023456
44,17.92,74.89,0.33128661461509545,0.010703896824341407
45,17.92,74.9,0.33255418104164963,0.010730120013969575
46,17.92,74.91,0.33502407511776516,0.010776926785071129
47,17.92,74.92,0.3381196426741951,0.010839350074672486
48,17.92,74.93,0.34127151583518245,0.010908419478478704
49,17.93,73.4,0.5648215264665083,0.011236696661248557
50,17.93,73.41,0.5632785599147294,0.011192912284318794
51,17.93,73.42,0.5593013894056843,0.011179858316376919
52,17.93,73.43,0.553463992922181,0.011190291326079075
53,17.93,73.44,0.5464823648478889,0.011216214367625692
54,17.93,73.45,0.5388116170788895,0.01125161278047163
55,17.93,73.46,0.5306619004682621,0.011293151657686773
56,17.93,73.47,0.5219716872119909,0.01134031612713114
57,17.93,73.48,0.5125709396702431,0.01139467466035617
58,17.93,73.49,0.5025332445820897,0.011457764647515445
59,17.93,73.5,0.492169826673294,0.011529023995908518
60,17.93,73.51,0.4818123963474887,0.011605905260901732
61,17.93,74.62,0.24541927353874057,0.011713772361462187
62,17.93,74.63,0.24857023668436826,0.011701269057854104
63,17.93,74.64,0.25216696308988945,0.011695834975685479
64,17.93,74.65,0.25639264708048803,0.011702161520376946
65,17.93,74.66,0.26114597959497815,0.011713895743348293
66,17.93,74.67,0.26625186428665754,0.011723007487110507
67,17.93,74.87,0.3320273732073086,0.010512170126346141
